emp_id,name,department,region,sales_amount,sale_date
101,Ahmed Hassan,Electronics,Cairo,4500.75,1/5/2024
102,Sara Mostafa,Clothing,Alexandria,1200,1/6/2024
103,Omar Khaled,Electronics,Giza,3300.5,1/7/2024
104,Nour Ibrahim,Grocery,Cairo,850.25,1/8/2024
105,Youssef Ali,Electronics,Cairo,5200,1/9/2024
106,Mona Adel,Clothing,Giza,990.4,1/10/2024
107,Karim Fathy,Grocery,Alexandria,610.1,1/11/2024
108,Laila Samir,Electronics,Alexandria,2750.6,1/12/2024
109,Tarek Nabil,Clothing,Cairo,1430,1/13/2024
110,Heba Yousry,Grocery,Giza,720.35,1/14/2024
111,Amr Saeed,Electronics,Giza,6100,1/15/2024
112,Dina Ashraf,Clothing,Cairo,1105.9,1/16/2024
113,Hany Ragab,Grocery,Cairo,540,1/17/2024
114,Rania Fouad,Electronics,Alexandria,4800.2,1/18/2024
115,Sherif Adel,Clothing,Giza,1320.75,1/19/2024
116,Mostafa Mahmoud,Electronics,Cairo,3850.5,1/20/2024
117,Menna Saad,Grocery,Alexandria,760.25,1/21/2024
118,Khaled Hassan,Clothing,Cairo,1680.4,1/22/2024
119,Salma Ahmed,Electronics,Giza,4250,1/23/2024
120,Mohamed Essam,Grocery,Cairo,930.6,1/24/2024
121,Reem Khalil,Clothing,Alexandria,1450.75,1/25/2024
122,Ibrahim Adel,Electronics,Cairo,5100.2,1/26/2024
123,Asmaa Nabil,Grocery,Giza,680.5,1/27/2024
124,Marwan Fathy,Clothing,Cairo,1250,1/28/2024
125,Huda Samir,Electronics,Alexandria,3900.8,1/29/2024
126,Adel Youssef,Grocery,Cairo,820.35,1/30/2024
127,Esraa Khaled,Clothing,Giza,1775.6,1/31/2024
128,Islam Hassan,Electronics,Cairo,4700.25,2/1/2024
129,Mariam Saeed,Grocery,Alexandria,590.4,2/2/2024
130,Ahmed Nabil,Clothing,Cairo,1380.75,2/3/2024
131,Sara Adel,Electronics,Giza,5600,2/4/2024
132,Omar Fathy,Grocery,Cairo,740.2,2/5/2024
133,Nour Saeed,Clothing,Alexandria,1190.5,2/6/2024
134,Youssef Hassan,Electronics,Cairo,4300.6,2/7/2024
135,Mona Ibrahim,Grocery,Giza,880.75,2/8/2024
136,Karim Mostafa,Clothing,Cairo,1520.4,2/9/2024
137,Laila Adel,Electronics,Alexandria,4850,2/10/2024
138,Tarek Hassan,Grocery,Cairo,625.25,2/11/2024
139,Heba Khaled,Clothing,Giza,1340.8,2/12/2024
